year,office,county,party,candidate,electionType,votes
2002,senate,houston,libertarian,sandy thomas,general,257
2002,senate,houston,republican,robert (bob) brown,primary,362
2002,senate,houston,republican,bob irvin,primary,661
2002,senate,houston,republican,saxby chambliss,primary,11269
2002,senate,houston,republican,saxby chambliss,general,19109
2002,senate,houston,democratic,max cleveland,primary,4260
2002,senate,houston,democratic,max cleland,general,10856
2002,senate,madison,libertarian,sandy thomas,general,95
2002,senate,madison,republican,robert (bob) brown,primary,285
2002,senate,madison,republican,bob irvin,primary,532
2002,senate,madison,republican,saxby chambliss,primary,783
2002,senate,madison,republican,saxby chambliss,general,3950
2002,senate,madison,democratic,max cleveland,primary,602
2002,senate,madison,democratic,max cleland,general,2012
2002,senate,whitfield,libertarian,sandy thomas,general,239
2002,senate,whitfield,republican,robert (bob) brown,primary,673
2002,senate,whitfield,republican,bob irvin,primary,991
2002,senate,whitfield,republican,saxby chambliss,primary,1803
2002,senate,whitfield,republican,saxby chambliss,general,10696
2002,senate,whitfield,democratic,max cleveland,primary,1001
2002,senate,whitfield,democratic,max cleland,general,5467
2002,senate,stephens,libertarian,sandy thomas,general,86
2002,senate,stephens,republican,robert (bob) brown,primary,126
2002,senate,stephens,republican,bob irvin,primary,270
2002,senate,stephens,republican,saxby chambliss,primary,281
2002,senate,stephens,republican,saxby chambliss,general,3451
2002,senate,stephens,democratic,max cleveland,primary,2163
2002,senate,stephens,democratic,max cleland,general,2419
2002,senate,newton,libertarian,sandy thomas,general,229
2002,senate,newton,republican,robert (bob) brown,primary,479
2002,senate,newton,republican,bob irvin,primary,1338
2002,senate,newton,republican,saxby chambliss,primary,2503
2002,senate,newton,republican,saxby chambliss,general,8937
2002,senate,newton,democratic,max cleveland,primary,2203
2002,senate,newton,democratic,max cleland,general,6454
2002,senate,thomas,libertarian,sandy thomas,general,104
2002,senate,thomas,republican,robert (bob) brown,primary,117
2002,senate,thomas,republican,bob irvin,primary,221
2002,senate,thomas,republican,saxby chambliss,primary,1354
2002,senate,thomas,republican,saxby chambliss,general,5017
2002,senate,thomas,democratic,max cleveland,primary,1479
2002,senate,thomas,democratic,max cleland,general,4715
2002,senate,murray,libertarian,sandy thomas,general,134
2002,senate,murray,republican,robert (bob) brown,primary,558
2002,senate,murray,republican,bob irvin,primary,585
2002,senate,murray,republican,saxby chambliss,primary,531
2002,senate,murray,republican,saxby chambliss,general,3689
2002,senate,murray,democratic,max cleveland,primary,1916
2002,senate,murray,democratic,max cleland,general,2449
2002,senate,talbot,libertarian,sandy thomas,general,30
2002,senate,talbot,republican,robert (bob) brown,primary,34
2002,senate,talbot,republican,bob irvin,primary,30
2002,senate,talbot,republican,saxby chambliss,primary,109
2002,senate,talbot,republican,saxby chambliss,general,598
2002,senate,talbot,democratic,max cleveland,primary,764
2002,senate,talbot,democratic,max cleland,general,1394
2002,senate,marion,libertarian,sandy thomas,general,30
2002,senate,marion,republican,robert (bob) brown,primary,33
2002,senate,marion,republican,bob irvin,primary,36
2002,senate,marion,republican,saxby chambliss,primary,114
2002,senate,marion,republican,saxby chambliss,general,850
2002,senate,marion,democratic,max cleveland,primary,584
2002,senate,marion,democratic,max cleland,general,1022
2002,senate,liberty,libertarian,sandy thomas,general,80
2002,senate,liberty,republican,robert (bob) brown,primary,122
2002,senate,liberty,republican,bob irvin,primary,104
2002,senate,liberty,republican,saxby chambliss,primary,322
2002,senate,liberty,republican,saxby chambliss,general,2813
2002,senate,liberty,democratic,max cleveland,primary,3051
2002,senate,liberty,democratic,max cleland,general,4442
2002,senate,schley,libertarian,sandy thomas,general,9
2002,senate,schley,republican,robert (bob) brown,primary,9
2002,senate,schley,republican,bob irvin,primary,13
2002,senate,schley,republican,saxby chambliss,primary,71
2002,senate,schley,republican,saxby chambliss,general,567
2002,senate,schley,democratic,max cleveland,primary,171
2002,senate,schley,democratic,max cleland,general,368
2002,senate,baldwin,libertarian,sandy thomas,general,91
2002,senate,baldwin,republican,robert (bob) brown,primary,91
2002,senate,baldwin,republican,bob irvin,primary,106
2002,senate,baldwin,republican,saxby chambliss,primary,1157
2002,senate,baldwin,republican,saxby chambliss,general,4556
2002,senate,baldwin,democratic,max cleveland,primary,3138
2002,senate,baldwin,democratic,max cleland,general,4958
2002,senate,warren,libertarian,sandy thomas,general,21
2002,senate,warren,republican,robert (bob) brown,primary,43
2002,senate,warren,republican,bob irvin,primary,60
2002,senate,warren,republican,saxby chambliss,primary,123
2002,senate,warren,republican,saxby chambliss,general,681
2002,senate,warren,democratic,max cleveland,primary,386
2002,senate,warren,democratic,max cleland,general,925
2002,senate,sumter,libertarian,sandy thomas,general,72
2002,senate,sumter,republican,robert (bob) brown,primary,39
2002,senate,sumter,republican,bob irvin,primary,74
2002,senate,sumter,republican,saxby chambliss,primary,669
2002,senate,sumter,republican,saxby chambliss,general,3453
2002,senate,sumter,democratic,max cleveland,primary,1357
2002,senate,sumter,democratic,max cleland,general,3972
2002,senate,colquitt,libertarian,sandy thomas,general,74
2002,senate,colquitt,republican,robert (bob) brown,primary,101
2002,senate,colquitt,republican,bob irvin,primary,146
2002,senate,colquitt,republican,saxby chambliss,primary,2534
2002,senate,colquitt,republican,saxby chambliss,general,5146
2002,senate,colquitt,democratic,max cleveland,primary,1715
2002,senate,colquitt,democratic,max cleland,general,2844
2002,senate,wayne,libertarian,sandy thomas,general,69
2002,senate,wayne,republican,robert (bob) brown,primary,96
2002,senate,wayne,republican,bob irvin,primary,111
2002,senate,wayne,republican,saxby chambliss,primary,424
2002,senate,wayne,republican,saxby chambliss,general,3583
2002,senate,wayne,democratic,max cleveland,primary,2556
2002,senate,wayne,democratic,max cleland,general,2750
2002,senate,pickens,libertarian,sandy thomas,general,88
2002,senate,pickens,republican,robert (bob) brown,primary,197
2002,senate,pickens,republican,bob irvin,primary,502
2002,senate,pickens,republican,saxby chambliss,primary,972
2002,senate,pickens,republican,saxby chambliss,general,4196
2002,senate,pickens,democratic,max cleveland,primary,346
2002,senate,pickens,democratic,max cleland,general,2095
2002,senate,taliaferro,libertarian,sandy thomas,general,10
2002,senate,taliaferro,republican,robert (bob) brown,primary,11
2002,senate,taliaferro,republican,bob irvin,primary,27
2002,senate,taliaferro,republican,saxby chambliss,primary,36
2002,senate,taliaferro,republican,saxby chambliss,general,182
2002,senate,taliaferro,democratic,max cleveland,primary,178
2002,senate,taliaferro,democratic,max cleland,general,363
2002,senate,worth,libertarian,sandy thomas,general,66
2002,senate,worth,republican,robert (bob) brown,primary,34
2002,senate,worth,republican,bob irvin,primary,99
2002,senate,worth,republican,saxby chambliss,primary,874
2002,senate,worth,republican,saxby chambliss,general,2908
2002,senate,worth,democratic,max cleveland,primary,1637
2002,senate,worth,democratic,max cleland,general,2006
2002,senate,putnam,libertarian,sandy thomas,general,58
2002,senate,putnam,republican,robert (bob) brown,primary,84
2002,senate,putnam,republican,bob irvin,primary,167
2002,senate,putnam,republican,saxby chambliss,primary,915
2002,senate,putnam,republican,saxby chambliss,general,2981
2002,senate,putnam,democratic,max cleveland,primary,1242
2002,senate,putnam,democratic,max cleland,general,2137
2002,senate,dodge,libertarian,sandy thomas,general,53
2002,senate,dodge,republican,robert (bob) brown,primary,67
2002,senate,dodge,republican,bob irvin,primary,63
2002,senate,dodge,republican,saxby chambliss,primary,1235
2002,senate,dodge,republican,saxby chambliss,general,2742
2002,senate,dodge,democratic,max cleveland,primary,1090
2002,senate,dodge,democratic,max cleland,general,1826
2002,senate,coffee,libertarian,sandy thomas,general,94
2002,senate,coffee,republican,robert (bob) brown,primary,40
2002,senate,coffee,republican,bob irvin,primary,63
2002,senate,coffee,republican,saxby chambliss,primary,876
2002,senate,coffee,republican,saxby chambliss,general,4661
2002,senate,coffee,democratic,max cleveland,primary,1773
2002,senate,coffee,democratic,max cleland,general,3098
2002,senate,rabun,libertarian,sandy thomas,general,80
2002,senate,rabun,republican,robert (bob) brown,primary,128
2002,senate,rabun,republican,bob irvin,primary,306
2002,senate,rabun,republican,saxby chambliss,primary,303
2002,senate,rabun,republican,saxby chambliss,general,2468
2002,senate,rabun,democratic,max cleveland,primary,1769
2002,senate,rabun,democratic,max cleland,general,1992
2002,senate,washington,libertarian,sandy thomas,general,56
2002,senate,washington,republican,robert (bob) brown,primary,32
2002,senate,washington,republican,bob irvin,primary,23
2002,senate,washington,republican,saxby chambliss,primary,229
2002,senate,washington,republican,saxby chambliss,general,2339
2002,senate,washington,democratic,max cleveland,primary,2955
2002,senate,washington,democratic,max cleland,general,2776
2002,senate,lumpkin,libertarian,sandy thomas,general,103
2002,senate,lumpkin,republican,robert (bob) brown,primary,370
2002,senate,lumpkin,republican,bob irvin,primary,713
2002,senate,lumpkin,republican,saxby chambliss,primary,971
2002,senate,lumpkin,republican,saxby chambliss,general,3254
2002,senate,lumpkin,democratic,max cleveland,primary,988
2002,senate,lumpkin,democratic,max cleland,general,1798
2002,senate,bleckley,libertarian,sandy thomas,general,32
2002,senate,bleckley,republican,robert (bob) brown,primary,40
2002,senate,bleckley,republican,bob irvin,primary,138
2002,senate,bleckley,republican,saxby chambliss,primary,1066
2002,senate,bleckley,republican,saxby chambliss,general,2125
2002,senate,bleckley,democratic,max cleveland,primary,518
2002,senate,bleckley,democratic,max cleland,general,1139
2002,senate,gwinnett,libertarian,sandy thomas,general,2479
2002,senate,gwinnett,republican,robert (bob) brown,primary,7967
2002,senate,gwinnett,republican,bob irvin,primary,17747
2002,senate,gwinnett,republican,saxby chambliss,primary,31552
2002,senate,gwinnett,republican,saxby chambliss,general,91604
2002,senate,gwinnett,democratic,max cleveland,primary,12756
2002,senate,gwinnett,democratic,max cleland,general,49093
2002,senate,cook,libertarian,sandy thomas,general,28
2002,senate,cook,republican,robert (bob) brown,primary,16
2002,senate,cook,republican,bob irvin,primary,35
2002,senate,cook,republican,saxby chambliss,primary,380
2002,senate,cook,republican,saxby chambliss,general,1557
2002,senate,cook,democratic,max cleveland,primary,636
2002,senate,cook,democratic,max cleland,general,1418
2002,senate,chattahoochee,libertarian,sandy thomas,general,13
2002,senate,chattahoochee,republican,robert (bob) brown,primary,18
2002,senate,chattahoochee,republican,bob irvin,primary,13
2002,senate,chattahoochee,republican,saxby chambliss,primary,40
2002,senate,chattahoochee,republican,saxby chambliss,general,291
2002,senate,chattahoochee,democratic,max cleveland,primary,119
2002,senate,chattahoochee,democratic,max cleland,general,383
2002,senate,hall,libertarian,sandy thomas,general,415
2002,senate,hall,republican,robert (bob) brown,primary,1657
2002,senate,hall,republican,bob irvin,primary,3942
2002,senate,hall,republican,saxby chambliss,primary,7082
2002,senate,hall,republican,saxby chambliss,general,21029
2002,senate,hall,democratic,max cleveland,primary,3695
2002,senate,hall,democratic,max cleland,general,8859
2002,senate,barrow,libertarian,sandy thomas,general,185
2002,senate,barrow,republican,robert (bob) brown,primary,657
2002,senate,barrow,republican,bob irvin,primary,1500
2002,senate,barrow,republican,saxby chambliss,primary,1969
2002,senate,barrow,republican,saxby chambliss,general,6287
2002,senate,barrow,democratic,max cleveland,primary,772
2002,senate,barrow,democratic,max cleland,general,3220
2002,senate,bryan,libertarian,sandy thomas,general,65
2002,senate,bryan,republican,robert (bob) brown,primary,219
2002,senate,bryan,republican,bob irvin,primary,249
2002,senate,bryan,republican,saxby chambliss,primary,703
2002,senate,bryan,republican,saxby chambliss,general,3611
2002,senate,bryan,democratic,max cleveland,primary,571
2002,senate,bryan,democratic,max cleland,general,2013
2002,senate,lincoln,libertarian,sandy thomas,general,30
2002,senate,lincoln,republican,robert (bob) brown,primary,170
2002,senate,lincoln,republican,bob irvin,primary,203
2002,senate,lincoln,republican,saxby chambliss,primary,278
2002,senate,lincoln,republican,saxby chambliss,general,1178
2002,senate,lincoln,democratic,max cleveland,primary,859
2002,senate,lincoln,democratic,max cleland,general,1054
2002,senate,crisp,libertarian,sandy thomas,general,50
2002,senate,crisp,republican,robert (bob) brown,primary,44
2002,senate,crisp,republican,bob irvin,primary,144
2002,senate,crisp,republican,saxby chambliss,primary,885
2002,senate,crisp,republican,saxby chambliss,general,2576
2002,senate,crisp,democratic,max cleveland,primary,1008
2002,senate,crisp,democratic,max cleland,general,2044
2002,senate,hancock,libertarian,sandy thomas,general,33
2002,senate,hancock,republican,robert (bob) brown,primary,5
2002,senate,hancock,republican,bob irvin,primary,12
2002,senate,hancock,republican,saxby chambliss,primary,58
2002,senate,hancock,republican,saxby chambliss,general,481
2002,senate,hancock,democratic,max cleveland,primary,1312
2002,senate,hancock,democratic,max cleland,general,1714
2002,senate,turner,libertarian,sandy thomas,general,13
2002,senate,turner,republican,robert (bob) brown,primary,20
2002,senate,turner,republican,bob irvin,primary,32
2002,senate,turner,republican,saxby chambliss,primary,192
2002,senate,turner,republican,saxby chambliss,general,996
2002,senate,turner,democratic,max cleveland,primary,662
2002,senate,turner,democratic,max cleland,general,958
2002,senate,greene,libertarian,sandy thomas,general,40
2002,senate,greene,republican,robert (bob) brown,primary,74
2002,senate,greene,republican,bob irvin,primary,188
2002,senate,greene,republican,saxby chambliss,primary,666
2002,senate,greene,republican,saxby chambliss,general,2559
2002,senate,greene,democratic,max cleveland,primary,1904
2002,senate,greene,democratic,max cleland,general,1990
2002,senate,jeff davis,libertarian,sandy thomas,general,53
2002,senate,jeff davis,republican,robert (bob) brown,primary,27
2002,senate,jeff davis,republican,bob irvin,primary,19
2002,senate,jeff davis,republican,saxby chambliss,primary,445
2002,senate,jeff davis,republican,saxby chambliss,general,2099
2002,senate,jeff davis,democratic,max cleveland,primary,766
2002,senate,jeff davis,democratic,max cleland,general,1234
2002,senate,bartow,libertarian,sandy thomas,general,343
2002,senate,bartow,republican,robert (bob) brown,primary,983
2002,senate,bartow,republican,bob irvin,primary,1810
2002,senate,bartow,republican,saxby chambliss,primary,3115
2002,senate,bartow,republican,saxby chambliss,general,11012
2002,senate,bartow,democratic,max cleveland,primary,3204
2002,senate,bartow,democratic,max cleland,general,6784
2002,senate,grady,libertarian,sandy thomas,general,42
